nohup: ignoring input
Number of parameter:  74.51M

  0%|                                                                                                      | 0/98 [00:00<?, ?it/s]
TRAIN (0) | Loss: 2.588 | Acc 0.573 mIoU 0.334:  61%|███████████████████████████▌                 | 60/98 [03:33<02:01,  3.20s/it]
TRAIN (0) | Loss: 2.588 | Acc 0.573 mIoU 0.334:  62%|████████████████████████████                 | 61/98 [03:33<02:11,  3.56s/it]
TRAIN (0) | Loss: 2.580 | Acc 0.575 mIoU 0.336:  62%|████████████████████████████                 | 61/98 [03:36<02:11,  3.56s/it]
TRAIN (0) | Loss: 2.580 | Acc 0.575 mIoU 0.336:  63%|████████████████████████████▍                | 62/98 [03:36<02:03,  3.42s/it]
TRAIN (0) | Loss: 2.571 | Acc 0.577 mIoU 0.338:  63%|████████████████████████████▍                | 62/98 [03:39<02:03,  3.42s/it]
TRAIN (0) | Loss: 2.571 | Acc 0.577 mIoU 0.338:  64%|████████████████████████████▉                | 63/98 [03:39<01:53,  3.25s/it]
TRAIN (0) | Loss: 2.567 | Acc 0.578 mIoU 0.339:  64%|████████████████████████████▉                | 63/98 [03:42<01:53,  3.25s/it]
TRAIN (0) | Loss: 2.567 | Acc 0.578 mIoU 0.339:  65%|█████████████████████████████▍               | 64/98 [03:42<01:47,  3.16s/it]
TRAIN (0) | Loss: 2.563 | Acc 0.579 mIoU 0.339:  65%|█████████████████████████████▍               | 64/98 [03:45<01:47,  3.16s/it]
TRAIN (0) | Loss: 2.563 | Acc 0.579 mIoU 0.339:  66%|█████████████████████████████▊               | 65/98 [03:45<01:43,  3.14s/it]
TRAIN (0) | Loss: 2.557 | Acc 0.580 mIoU 0.340:  66%|█████████████████████████████▊               | 65/98 [03:48<01:43,  3.14s/it]
TRAIN (0) | Loss: 2.557 | Acc 0.580 mIoU 0.340:  67%|██████████████████████████████▎              | 66/98 [03:48<01:46,  3.32s/it]
TRAIN (0) | Loss: 2.550 | Acc 0.582 mIoU 0.341:  67%|██████████████████████████████▎              | 66/98 [03:51<01:46,  3.32s/it]
TRAIN (0) | Loss: 2.550 | Acc 0.582 mIoU 0.341:  68%|██████████████████████████████▊              | 67/98 [03:51<01:39,  3.23s/it]
TRAIN (0) | Loss: 2.549 | Acc 0.582 mIoU 0.341:  68%|██████████████████████████████▊              | 67/98 [03:55<01:39,  3.23s/it]
TRAIN (0) | Loss: 2.549 | Acc 0.582 mIoU 0.341:  69%|███████████████████████████████▏             | 68/98 [03:55<01:35,  3.17s/it]
TRAIN (0) | Loss: 2.554 | Acc 0.581 mIoU 0.341:  69%|███████████████████████████████▏             | 68/98 [03:58<01:35,  3.17s/it]
TRAIN (0) | Loss: 2.554 | Acc 0.581 mIoU 0.341:  70%|███████████████████████████████▋             | 69/98 [03:58<01:30,  3.13s/it]
TRAIN (0) | Loss: 2.550 | Acc 0.582 mIoU 0.341:  70%|███████████████████████████████▋             | 69/98 [04:01<01:30,  3.13s/it]
TRAIN (0) | Loss: 2.550 | Acc 0.582 mIoU 0.341:  71%|████████████████████████████████▏            | 70/98 [04:01<01:27,  3.11s/it]
TRAIN (0) | Loss: 2.550 | Acc 0.582 mIoU 0.341:  71%|████████████████████████████████▏            | 70/98 [04:04<01:27,  3.11s/it]
